legacy_plant_id,canonical_name,country_geo_id,admin1_geo_id,plant_type_code,site_resolution_status,resolved_site_id,migration_status
PL-IN-RJ-000002,Kotputli Cement Works,CTY-IN,SUB-IN-RJ,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-IN-RJ-000001,READY_FOR_PROMOTION
PL-IN-GJ-000003,Narmada Cement Jafrabad Works,CTY-IN,SUB-IN-GJ,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-IN-GJ-000001,READY_FOR_PROMOTION
PL-IN-MP-000013,RCCPL Maihar Integrated Unit,CTY-IN,SUB-IN-MP,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-IN-MP-000001,READY_FOR_PROMOTION
PL-IN-UP-000018,Kundanganj Grinding Unit,CTY-IN,SUB-IN-UP,GRINDING,UNIQUE_SITE_CONFIRMED,SITE-IN-UP-000001,READY_FOR_PROMOTION
PL-IN-KA-000006,JK Cement Works Muddapur,CTY-IN,SUB-IN-KA,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-IN-KA-000001,READY_FOR_PROMOTION
PL-CN-AH-000004,Wuhu Conch,CTY-CN,SUB-CN-AH,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-CN-AH-000001,READY_FOR_PROMOTION
PL-CN-AH-000002,Tongling Conch,CTY-CN,SUB-CN-AH,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-CN-AH-000002,READY_FOR_PROMOTION
PL-CN-AH-000003,Ningguo Cement Plant,CTY-CN,SUB-CN-AH,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-CN-AH-000003,READY_FOR_PROMOTION
PL-CN-AH-000019,Ma'anshan Conch,CTY-CN,SUB-CN-AH,GRINDING,UNIQUE_SITE_CONFIRMED,SITE-CN-AH-000004,READY_FOR_PROMOTION
PL-CN-SC-000008,Dujiangyan Lafarge/Holcim,CTY-CN,SUB-CN-SC,INTEGRATED,UNIQUE_SITE_CONFIRMED,SITE-CN-SC-000001,READY_FOR_PROMOTION
